Pokemon,Pokeball,Status Effect,Success Rate,Avg Capture Probability,Relative Effectiveness
jolteon,pokeball,NONE,0.03,0.058600000000000006,0.03
jolteon,ultraball,NONE,0.13,0.11720000000000001,0.13
jolteon,fastball,NONE,0.22,0.23440000000000003,0.22
jolteon,heavyball,NONE,0.0,0.032600000000000004,0.0
jolteon,pokeball,SLEEP,0.11,0.11720000000000001,0.11
jolteon,ultraball,SLEEP,0.24,0.23440000000000003,0.24
jolteon,fastball,SLEEP,0.48,0.46880000000000005,0.48
jolteon,heavyball,SLEEP,0.09,0.06510000000000002,0.09
jolteon,pokeball,FREEZE,0.11,0.11720000000000001,0.11
jolteon,ultraball,FREEZE,0.18,0.23440000000000003,0.18
jolteon,fastball,FREEZE,0.48,0.46880000000000005,0.48
jolteon,heavyball,FREEZE,0.08,0.06510000000000002,0.08
jolteon,pokeball,POISON,0.12,0.08789999999999998,0.12
jolteon,ultraball,POISON,0.12,0.17579999999999996,0.12
jolteon,fastball,POISON,0.32,0.3515999999999999,0.32
jolteon,heavyball,POISON,0.04,0.048799999999999996,0.04
jolteon,pokeball,BURN,0.13,0.08789999999999998,0.13
jolteon,ultraball,BURN,0.13,0.17579999999999996,0.13
jolteon,fastball,BURN,0.33,0.3515999999999999,0.33
jolteon,heavyball,BURN,0.03,0.048799999999999996,0.03
jolteon,pokeball,PARALYSIS,0.08,0.08789999999999998,0.08
jolteon,ultraball,PARALYSIS,0.14,0.17579999999999996,0.14
jolteon,fastball,PARALYSIS,0.31,0.3515999999999999,0.31
jolteon,heavyball,PARALYSIS,0.07,0.048799999999999996,0.07
caterpie,pokeball,NONE,0.33,0.33199999999999996,0.33
caterpie,ultraball,NONE,0.54,0.6641000000000002,0.54
caterpie,fastball,NONE,0.29,0.33199999999999996,0.29
caterpie,heavyball,NONE,0.27,0.30600000000000005,0.27
caterpie,pokeball,SLEEP,0.73,0.6641000000000002,0.73
caterpie,ultraball,SLEEP,1.0,1.0,1.0
caterpie,fastball,SLEEP,0.66,0.6641000000000002,0.66
caterpie,heavyball,SLEEP,0.59,0.6120000000000001,0.59
caterpie,pokeball,FREEZE,0.64,0.6641000000000002,0.64
caterpie,ultraball,FREEZE,1.0,1.0,1.0
caterpie,fastball,FREEZE,0.64,0.6641000000000002,0.64
caterpie,heavyball,FREEZE,0.52,0.6120000000000001,0.52
caterpie,pokeball,POISON,0.44,0.49810000000000004,0.44
caterpie,ultraball,POISON,0.98,0.9961,0.98
caterpie,fastball,POISON,0.52,0.49810000000000004,0.52
caterpie,heavyball,POISON,0.48,0.4590000000000001,0.48
caterpie,pokeball,BURN,0.51,0.49810000000000004,0.51
caterpie,ultraball,BURN,1.0,0.9961,1.0
caterpie,fastball,BURN,0.48,0.49810000000000004,0.48
caterpie,heavyball,BURN,0.48,0.4590000000000001,0.48
caterpie,pokeball,PARALYSIS,0.47,0.49810000000000004,0.47
caterpie,ultraball,PARALYSIS,1.0,0.9961,1.0
caterpie,fastball,PARALYSIS,0.48,0.49810000000000004,0.48
caterpie,heavyball,PARALYSIS,0.5,0.4590000000000001,0.5
snorlax,pokeball,NONE,0.05,0.032600000000000004,0.05
snorlax,ultraball,NONE,0.02,0.06510000000000002,0.02
snorlax,fastball,NONE,0.05,0.032600000000000004,0.05
snorlax,heavyball,NONE,0.1,0.0846,0.1
snorlax,pokeball,SLEEP,0.06,0.06510000000000002,0.06
snorlax,ultraball,SLEEP,0.14,0.13020000000000004,0.14
snorlax,fastball,SLEEP,0.05,0.06510000000000002,0.05
snorlax,heavyball,SLEEP,0.18,0.1693,0.18
snorlax,pokeball,FREEZE,0.08,0.06510000000000002,0.08
snorlax,ultraball,FREEZE,0.11,0.13020000000000004,0.11
snorlax,fastball,FREEZE,0.07,0.06510000000000002,0.07
snorlax,heavyball,FREEZE,0.15,0.1693,0.15
snorlax,pokeball,POISON,0.03,0.048799999999999996,0.03
snorlax,ultraball,POISON,0.08,0.09769999999999998,0.08
snorlax,fastball,POISON,0.05,0.048799999999999996,0.05
snorlax,heavyball,POISON,0.15,0.12700000000000003,0.15
snorlax,pokeball,BURN,0.03,0.048799999999999996,0.03
